LANÇAMENTO ,EVENTO A OCORREU,TOTAL ACUMULADO ,PROBABILIDADE ACUMULADA ,,OCORRÊNCIAS DE A DOS COLEGAS,PROB DE A EM 60 LANÇAMENTOS
1,Não,0,0.0000,,9,0.3000
2,Não,0,0.0000,,8,0.2667
3,Sim,1,0.3333,,8,0.2667
4,Sim,2,0.5000,,9,0.3000
5,Não,2,0.4000,,7,0.2333
6,Não,2,0.3333,,14,0.4667
7,Não,2,0.2857,,11,0.3667
8,Não,2,0.2500,,9,0.3000
9,Sim,3,0.3333,,13,0.4333
10,Não,3,0.3000,,16,0.5333
11,Sim,4,0.3636,,11,0.3667
12,Não,4,0.3333,,6,0.2000
13,Não,4,0.3077,,10,0.3333
14,Não,4,0.2857,,14,0.4667
15,Não,4,0.2667,,9,0.3000
16,Não,4,0.2500,,10,0.3333
17,Sim,5,0.2941,,9,0.3000
18,Não,5,0.2778,,11,0.3667
19,Não,5,0.2632,,7,0.2333
20,Não,5,0.2500,,14,0.4667
21,Não,5,0.2381,,11,0.3667
22,Não,5,0.2273,,12,0.4000
23,Não,5,0.2174,,9,0.3000
24,Não,5,0.2083,,13,0.4333
25,Sim,6,0.2400,,7,0.2333
26,Não,6,0.2308,,10,0.3333
27,Não,6,0.2222,,10,0.3333
28,Não,6,0.2143,,13,0.4333
29,Sim,7,0.2414,,,
30,Sim,8,0.2667,,,
31,Não,8,0.2581,,,
32,Não,8,0.2500,,,
33,Não,8,0.2424,,,
34,Sim,9,0.2647,,,
35,Não,9,0.2571,,,
36,Não,9,0.2500,,,
37,Sim,10,0.2703,,,
38,Sim,11,0.2895,,,
39,Não,11,0.2821,,,
40,Não,11,0.2750,,,
41,Sim,12,0.2927,,,
42,Sim,13,0.3095,,,
43,Não,13,0.3023,,,
44,Não,13,0.2955,,,
45,Sim,14,0.3111,,,
46,Não,14,0.3043,,,
47,Não,14,0.2979,,,
48,Não,14,0.2917,,,
49,Não,14,0.2857,,,
50,Não,14,0.2800,,,
51,Não,14,0.2745,,,
52,Sim,15,0.2885,,,
53,Não,15,0.2830,,,
54,Não,15,0.2778,,,
55,Não,15,0.2727,,,
56,Não,15,0.2679,,,
57,Não,15,0.2632,,,
58,Sim,16,0.2759,,,
59,Não,16,0.2712,,,
60,Não,16,0.2667,,,
